"Poverty estimates for the U.S., States, and counties, 2016 (see second tab in this workbook for variable name descriptions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Model-based Small Area Income & Poverty Estimates (SAIPE) -   https://www.census.gov/programs-surveys/saipe.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIPStxt,State,Area_Name,Rural-urban_Continuum_Code_2003,Urban_Influence_Code_2003,Rural-urban_Continuum_Code_2013,Urban_Influence_Code_2013,POVALL_2016,CI90LBAll_2016,CI90UBALL_2016,PCTPOVALL_2016,CI90LBALLP_2016,CI90UBALLP_2016,POV017_2016,CI90LB017_2016,CI90UB017_2016,PCTPOV017_2016,CI90LB017P_2016,CI90UB017P_2016,POV517_2016,CI90LB517_2016,CI90UB517_2016,PCTPOV517_2016,CI90LB517P_2016,CI90UB517P_2016,MEDHHINC_2016,CI90LBINC_2016,CI90UBINC_2016,POV05_2016,CI90LB05_2016,CI90UB05_2016,PCTPOV05_2016,CI90LB05P_2016,CI90UB05P_2016
0,US,United States,,,,,44268996,44022086,44515906,14,14,14,14115713,13976345,14255081,20,19,20,9648486,9548767,9748205,18,18,19,57617,57502,57732,4156949,4108397,4205501,21,21,22
1000,AL,Alabama,,,,,814197,796927,831467,17,17,18,267674,258276,277072,25,24,26,185889,177569,194209,24,22,25,46309,45650,46968,78675,74257,83093,27,26,29
1001,AL,Autauga County,2,2,2,2,7444,6255,8633,14,11,16,2588,2090,3086,19,16,23,1887,1522,2252,18,15,22,54487,50886,58088,,,,,,
1003,AL,Baldwin County,4,5,3,2,24005,20132,27878,12,10,14,7881,6231,9531,18,14,21,5512,4262,6762,17,13,20,56460,53250,59670,,,,,,
1005,AL,Barbour County,6,6,6,6,6787,5551,8023,30,25,35,2146,1675,2617,40,31,48,1502,1160,1844,37,28,45,32884,29684,36084,,,,,,
1007,AL,Bibb County,1,1,1,1,4099,3194,5004,20,16,25,1263,976,1550,28,21,34,892,683,1101,27,21,33,43079,38896,47262,,,,,,
1009,AL,Blount County,1,1,1,1,8033,6506,9560,14,11,17,2568,1998,3138,19,15,24,1744,1324,2164,18,13,22,47213,43017,51409,,,,,,
1011,AL,Bullock County,6,6,6,6,2841,2155,3527,33,25,41,995,757,1233,46,35,57,689,516,862,44,33,55,34278,31716,36840,,,,,,
1013,AL,Butler County,6,6,6,6,4880,4033,5727,25,21,29,1708,1365,2051,37,29,44,1187,931,1443,34,27,42,35409,32142,38676,,,,,,
1015,AL,Calhoun County,3,2,3,2,19057,16226,21888,17,15,20,6313,5189,7437,26,21,30,4397,3556,5238,24,20,29,41778,38806,44750,,,,,,
1017,AL,Chambers County,6,5,6,5,6656,5264,8048,20,16,24,2292,1754,2830,33,25,40,1623,1218,2028,32,24,40,39530,36789,42271,,,,,,
1019,AL,Cherokee County,8,6,6,6,4273,3327,5219,17,13,21,1387,1051,1723,28,21,34,982,737,1227,25,19,32,41456,37387,45525,,,,,,
1021,AL,Chilton County,1,1,1,1,7960,6561,9359,18,15,22,2740,2148,3332,26,21,32,1902,1457,2347,25,19,31,44188,40078,48298,,,,,,
1023,AL,Choctaw County,9,10,9,10,2910,2296,3524,23,18,28,852,654,1050,33,25,40,595,452,738,30,23,38,32691,30165,35217,,,,,,
1025,AL,Clarke County,7,11,7,11,6977,6090,7864,29,25,33,2068,1736,2400,39,33,45,1354,1096,1612,34,28,41,34061,31391,36731,,,,,,
1027,AL,Clay County,9,10,9,10,2495,2012,2978,19,15,23,781,612,950,28,22,34,537,406,668,26,20,33,38512,34501,42523,,,,,,
1029,AL,Cleburne County,8,4,8,4,2527,2037,3017,17,14,21,831,647,1015,25,19,30,584,447,721,23,18,29,43483,39142,47824,,,,,,
1031,AL,Coffee County,6,5,4,5,7271,6008,8534,14,12,17,2554,2014,3094,21,17,26,1702,1305,2099,19,15,24,48632,44663,52601,,,,,,
1033,AL,Colbert County,3,2,3,2,8982,7483,10481,17,14,20,2851,2266,3436,25,20,30,1911,1478,2344,23,18,28,46572,42799,50345,,,,,,
1035,AL,Conecuh County,9,11,7,11,3464,2735,4193,28,22,34,1135,872,1398,44,34,54,809,614,1004,42,32,52,29758,26689,32827,,,,,,
1037,AL,Coosa County,8,7,8,3,1801,1382,2220,18,13,22,536,406,666,29,22,36,381,285,477,28,21,36,36441,33189,39693,,,,,,
1039,AL,Covington County,7,9,6,6,7228,6021,8435,20,16,23,2275,1756,2794,28,22,35,1659,1278,2040,28,22,34,35010,32151,37869,,,,,,
1041,AL,Crenshaw County,8,6,8,6,2822,2266,3378,21,17,25,912,701,1123,29,22,36,633,471,795,27,20,34,37374,33704,41044,,,,,,
1043,AL,Cullman County,6,3,4,3,12133,9928,14338,15,12,18,3758,2937,4579,21,16,25,2490,1878,3102,19,14,23,41543,38395,44691,,,,,,
1045,AL,Dale County,4,5,4,5,9936,8518,11354,21,18,24,3339,2735,3943,30,24,35,2186,1746,2626,27,22,33,40523,36538,44508,,,,,,
1047,AL,Dallas County,4,5,4,5,13987,12242,15732,35,31,40,5670,4985,6355,58,51,65,4064,3569,4559,56,49,63,30488,28583,32393,,,,,,
1049,AL,DeKalb County,6,6,6,6,14362,12376,16348,21,18,23,5285,4387,6183,31,26,36,3721,3056,4386,29,24,34,37128,34392,39864,,,,,,
1051,AL,Elmore County,2,2,2,2,10316,8462,12170,14,11,16,3689,2983,4395,20,16,24,2634,2114,3154,20,16,24,54553,49946,59160,,,,,,
1053,AL,Escambia County,6,6,6,6,8020,6558,9482,23,19,28,2538,1997,3079,31,24,37,1812,1417,2207,30,24,37,35096,31584,38608,,,,,,
1055,AL,Etowah County,3,2,3,2,17624,14904,20344,18,15,20,5878,4720,7036,27,22,32,4170,3277,5063,26,20,31,40972,38507,43437,,,,,,
1057,AL,Fayette County,6,6,6,6,3307,2647,3967,20,16,24,1007,779,1235,29,22,36,706,539,873,28,21,34,38403,34441,42365,,,,,,
1059,AL,Franklin County,6,6,6,6,6272,5092,7452,20,16,24,2233,1757,2709,29,23,36,1594,1243,1945,29,22,35,37049,34010,40088,,,,,,
1061,AL,Geneva County,3,2,3,2,5495,4344,6646,21,17,25,1824,1389,2259,31,24,39,1262,940,1584,29,22,37,36976,33775,40177,,,,,,
1063,AL,Greene County,3,2,8,6,2845,2258,3432,34,27,41,938,721,1155,49,38,61,665,506,824,47,36,59,26559,23639,29479,,,,,,
1065,AL,Hale County,3,2,3,2,3495,2792,4198,24,19,29,1228,936,1520,35,27,43,810,597,1023,32,24,41,35381,31693,39069,,,,,,
1067,AL,Henry County,3,2,3,2,3159,2546,3772,19,15,22,1015,792,1238,29,23,35,694,527,861,26,20,32,41426,37153,45699,,,,,,
1069,AL,Houston County,3,2,3,2,19878,17904,21852,19,18,21,6864,5880,7848,29,25,33,4668,3900,5436,26,22,31,42910,40461,45359,,,,,,
1071,AL,Jackson County,6,5,6,5,9007,7687,10327,18,15,20,2563,1983,3143,24,18,29,1772,1349,2195,22,17,27,41407,37996,44818,,,,,,
1073,AL,Jefferson County,1,1,1,1,98463,89692,107234,15,14,17,33006,28649,37363,22,19,25,23359,20176,26542,22,19,25,50109,48766,51452,,,,,,
1075,AL,Lamar County,9,10,8,7,2545,2039,3051,19,15,22,798,627,969,27,21,33,551,423,679,25,19,30,38358,34308,42408,,,,,,
1077,AL,Lauderdale County,3,2,3,2,13739,11423,16055,15,13,18,3837,2954,4720,21,16,26,2690,2060,3320,20,15,24,44124,41218,47030,,,,,,
1079,AL,Lawrence County,3,2,3,2,5530,4376,6684,17,13,20,1724,1302,2146,24,18,30,1223,911,1535,23,17,29,43107,38963,47251,,,,,,
1081,AL,Lee County,3,2,3,2,28139,25176,31102,18,16,20,6134,4831,7437,18,14,22,4352,3391,5313,18,14,22,47749,45091,50407,,,,,,
1083,AL,Limestone County,2,2,2,2,11511,9490,13532,13,11,15,3757,2959,4555,18,14,22,2519,1932,3106,16,12,20,52181,49003,55359,,,,,,
1085,AL,Lowndes County,2,2,2,2,3252,2720,3784,32,27,37,1342,1158,1526,58,50,65,1040,908,1172,61,53,68,32011,28615,35407,,,,,,
1087,AL,Macon County,6,5,6,6,5183,4057,6309,30,24,37,1448,1102,1794,45,34,56,1018,763,1273,44,33,54,30681,27875,33487,,,,,,
1089,AL,Madison County,2,2,2,2,47081,42457,51705,14,12,15,14358,12409,16307,18,16,21,9397,7894,10900,16,14,19,61193,57616,64770,,,,,,
1091,AL,Marengo County,7,11,7,11,5003,4074,5932,26,21,31,1635,1279,1991,37,29,45,1112,847,1377,34,26,42,34794,31108,38480,,,,,,
1093,AL,Marion County,8,4,7,11,5386,4381,6391,19,15,22,1693,1325,2061,27,21,33,1222,946,1498,26,21,32,36386,32621,40151,,,,,,
1095,AL,Marshall County,4,5,4,5,19703,17356,22050,21,19,24,7414,6372,8456,32,28,37,5052,4268,5836,30,25,35,42117,39082,45152,,,,,,
1097,AL,Mobile County,2,2,2,2,79364,71667,87061,20,18,21,29471,25886,33056,30,27,34,20594,17974,23214,30,26,33,45233,43138,47328,,,,,,
1099,AL,Monroe County,7,11,7,11,5472,4556,6388,26,21,30,1674,1309,2039,35,27,42,1185,915,1455,32,25,40,36639,32700,40578,,,,,,
1101,AL,Montgomery County,2,2,2,2,40760,35449,46071,19,16,21,14814,12319,17309,29,24,33,9687,7771,11603,27,21,32,45111,42267,47955,,,,,,
1103,AL,Morgan County,3,2,3,2,18457,15628,21286,16,13,18,6223,5107,7339,23,19,27,4343,3487,5199,22,17,26,46843,42712,50974,,,,,,
1105,AL,Perry County,8,6,8,4,3066,2342,3790,35,27,43,1055,798,1312,52,39,64,752,560,944,49,36,61,25221,22695,27747,,,,,,
1107,AL,Pickens County,8,6,3,2,4756,3863,5649,26,21,31,1458,1161,1755,37,29,44,985,760,1210,34,26,41,35968,32328,39608,,,,,,
1109,AL,Pike County,6,5,6,5,7793,6569,9017,25,21,29,2311,1936,2686,37,31,43,1551,1247,1855,35,28,42,35172,31485,38859,,,,,,
1111,AL,Randolph County,6,4,6,4,4839,3986,5692,22,18,26,1691,1376,2006,35,28,41,1116,873,1359,31,25,38,40283,36675,43891,,,,,,
1113,AL,Russell County,2,2,2,2,11108,9069,13147,19,16,23,4041,3093,4989,28,22,35,2811,2120,3502,28,21,35,38617,35460,41774,,,,,,
1115,AL,St. Clair County,1,1,1,1,10352,8324,12380,12,10,14,3392,2608,4176,17,13,21,2409,1815,3003,17,12,21,57856,54328,61384,,,,,,
1117,AL,Shelby County,1,1,1,1,16406,13935,18877,8,7,9,4950,3954,5946,10,8,12,3603,2875,4331,10,8,12,74212,71325,77099,,,,,,
1119,AL,Sumter County,8,6,8,6,3933,3092,4774,32,26,39,1126,860,1392,44,34,55,809,612,1006,45,34,55,26814,23991,29637,,,,,,
1121,AL,Talladega County,4,5,4,3,13864,11411,16317,18,15,21,4173,3206,5140,25,19,30,2895,2172,3618,23,17,29,40555,37283,43827,,,,,,
1123,AL,Tallapoosa County,6,6,6,6,8111,6817,9405,20,17,23,2565,2056,3074,30,24,36,1715,1316,2114,28,21,34,40169,36369,43969,,,,,,
1125,AL,Tuscaloosa County,3,2,3,2,34384,30140,38628,18,15,20,9306,7601,11011,22,18,26,6691,5489,7893,22,18,26,47483,44665,50301,,,,,,
1127,AL,Walker County,1,1,1,1,13097,11028,15166,21,17,24,4229,3484,4974,30,25,35,2950,2405,3495,29,24,34,39511,36897,42125,,,,,,
1129,AL,Washington County,8,7,8,7,3018,2375,3661,18,14,22,1010,770,1250,27,20,33,720,543,897,25,19,31,37575,34316,40834,,,,,,
1131,AL,Wilcox County,8,7,9,10,3466,2701,4231,32,25,39,1301,988,1614,49,37,61,919,686,1152,47,35,59,24216,21833,26599,,,,,,
1133,AL,Winston County,6,4,6,4,4061,3180,4942,17,14,21,1233,929,1537,25,19,31,889,666,1112,24,18,30,38644,34883,42405,,,,,,
2000,AK,Alaska,,,,,71916,67813,76019,10,9,11,24897,22566,27228,14,12,15,16061,13965,18157,12,11,14,76144,74375,77913,7919,6898,8940,15,13,17
2013,AK,Aleutians East Borough,9,12,9,12,487,365,609,15,11,19,39,29,49,14,10,17,24,17,31,11,8,15,63991,57596,70386,,,,,,
2016,AK,Aleutians West Census Area,7,11,9,11,438,333,543,8,6,10,53,39,67,8,6,10,34,24,44,7,5,9,78151,70827,85475,,,,,,
2020,AK,Anchorage Borough,2,2,2,2,21108,18016,24200,7,6,8,7363,5956,8770,10,8,12,4634,3592,5676,9,7,11,83959,80579,87339,,,,,,
2050,AK,Bethel Census Area,7,11,7,11,4502,3834,5170,26,22,29,2142,1686,2598,34,27,41,1401,1041,1761,32,24,40,46634,43010,50258,,,,,,
2060,AK,Bristol Bay Borough,9,12,9,12,100,77,123,11,9,14,24,18,30,14,10,18,17,12,22,14,10,19,68026,61441,74611,,,,,,
2068,AK,Denali Borough,8,7,8,7,121,91,151,6,5,8,30,22,38,9,6,11,20,14,26,8,5,10,72378,64687,80069,,,,,,
2070,AK,Dillingham Census Area,9,12,9,12,965,731,1199,20,15,24,488,356,620,32,23,41,334,234,434,32,22,41,52250,47330,57170,,,,,,
2090,AK,Fairbanks North Star Borough,3,2,3,2,8144,6704,9584,9,7,10,2378,1858,2898,10,8,12,1516,1148,1884,9,7,12,73427,67591,79263,,,,,,
2100,AK,Haines Borough,9,10,9,12,257,196,318,10,8,13,75,55,95,17,12,21,50,35,65,14,10,18,53471,47744,59198,,,,,,
2105,AK,Hoonah-Angoon Census Area,,,9,10,397,308,486,19,15,23,143,105,181,35,26,45,96,67,125,31,22,41,53884,51264,56504,,,,,,
2110,AK,Juneau Borough,5,8,5,8,2334,1836,2832,7,6,9,693,524,862,10,8,12,412,292,532,8,6,11,82011,76840,87182,,,,,,
2122,AK,Kenai Peninsula Borough,7,11,7,11,6835,5773,7897,12,10,14,2121,1693,2549,16,13,20,1403,1088,1718,15,12,18,68501,63966,73036,,,,,,
2130,AK,Ketchikan Gateway Borough,7,8,7,8,1245,973,1517,9,7,11,381,289,473,13,10,16,242,176,308,11,8,14,67125,60867,73383,,,,,,
2150,AK,Kodiak Island Borough,7,8,7,11,991,769,1213,7,6,9,326,243,409,9,7,12,204,146,262,8,6,11,74683,67867,81499,,,,,,
2158,AK,Kusilvak Census Area,9,12,9,12,3033,2628,3438,38,33,43,1483,1171,1795,45,36,55,971,731,1211,44,33,54,34341,31782,36900,,,,,,
2164,AK,Lake and Peninsula Borough,9,12,9,12,325,256,394,21,17,25,143,106,180,33,24,41,96,68,124,33,23,42,44310,39826,48794,,,,,,
2170,AK,Matanuska-Susitna Borough,2,2,2,2,9641,8206,11076,10,8,11,2828,2187,3469,10,8,13,1893,1429,2357,9,7,12,71793,67351,76235,,,,,,
2180,AK,Nome Census Area,7,11,7,11,2337,1974,2700,24,20,28,1058,840,1276,31,24,37,682,518,846,28,21,35,55974,51776,60172,,,,,,
2185,AK,North Slope Borough,7,11,7,11,1132,881,1383,12,9,15,365,272,458,15,11,19,231,166,296,13,10,17,74998,67041,82955,,,,,,
